model,R0,D_infection,D_immunity,prop_immunity,partial_protection,p_0,p_1,p_2,p_3_or_more,logLike
SIRS,10.0,3.0,60.0,NA,NA,0.10356896575434882,0.29495080999341694,0.1895808939492551,0.41189933030297915,-183.00627626177948
AoN,10.0,3.0,NA,0.45,NA,0.1035407359616689,0.40357433475196935,0.22921214564393344,0.2636727836424283,-108.79178625768031
PPI,10.0,3.0,NA,NA,0.95,0.10356459672835494,0.5996502015922256,0.2535073442446489,0.04327785743477058,-27.8472998750608
